batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Jds Neesham,92,93,10,98.9247311827957,85.18494623655913,0
Mj Mcclenaghan,85,73,20,116.43835616438356,84.7876712328767,0
Pr Shah,92,97,9,94.84536082474226,84.26907216494845,0
Ap Majumdar,87,77,4,112.98701298701299,83.8974025974026,0
Iqbal Abdulla,88,86,13,102.32558139534885,83.36511627906977,0
Dj Jacobs,92,101,7,91.0891089108911,83.31782178217821,0
Ad Nath,90,99,10,90.9090909090909,82.18181818181817,0
Ta Boult,85,86,24,98.83720930232558,81.66744186046512,0
Jg Bethell,67,39,2,171.7948717948718,81.45897435897436,4
Re Levi,83,74,6,112.16216216216218,81.13243243243242,0
B Akhil,76,57,11,133.33333333333331,80.96666666666665,4
Nm Coulter-Nile,82,75,16,109.33333333333333,80.86666666666666,0
Sl Malinga,88,103,20,85.43689320388349,80.6873786407767,0
Lh Ferguson,72,49,8,146.9387755102041,80.58775510204082,4
La Carseldine,81,71,5,114.08450704225352,80.0169014084507,0
Wpujc Vaas,81,73,11,110.95890410958904,79.9917808219178,0
Mohammed Shami,84,93,27,90.32258064516128,79.56451612903226,0
Rt Ponting,91,129,9,70.54263565891473,78.70852713178294,3
Tr Birt,75,59,5,127.11864406779661,78.42372881355932,0
Cj Jordan,81,81,12,100.0,77.89999999999999,0
Rv Patel,80,76,7,105.26315789473684,77.75263157894737,0
Vivrant Sharma,69,49,1,140.81632653061226,76.56326530612245,4
Avesh Khan,62,39,13,158.97435897435898,76.4948717948718,4
Ad Mascarenhas,79,79,11,100.0,76.39999999999999,0
Cr Woakes,78,77,12,101.29870129870129,76.05974025974025,0
Pwh De Silva,81,95,19,85.26315789473684,75.65263157894736,0
Jr Philippe,78,80,5,97.5,74.6,0
J Suchith,70,62,9,112.90322580645163,72.48064516129034,0
Sk Rasheed,71,67,5,105.97014925373134,71.39402985074626,0
Rr Sarwan,73,78,4,93.58974358974359,70.21794871794872,0
M Klinger,73,78,4,93.58974358974359,70.21794871794872,0
Gd Phillips,65,55,8,118.18181818181819,69.93636363636364,0
Ir Jaggi,76,100,7,76.0,69.1,0
Umar Gul,39,19,4,205.26315789473685,68.75263157894737,4
Rr Powar,67,64,9,104.6875,68.73750000000001,0
Ka Jamieson,65,60,9,108.33333333333333,68.06666666666668,0
Jj Bumrah,68,81,27,83.9506172839506,67.09012345679012,0
Hr Shokeen,66,67,5,98.50746268656717,66.40149253731343,0
L Wood,9,3,1,300.0,66.39999999999999,4
A Flintoff,62,57,3,108.77192982456141,65.45438596491228,0
R Sharma,66,77,19,85.71428571428571,65.24285714285715,0
Sp Jackson,61,57,8,107.01754385964912,64.90350877192982,0
Aa Bilakhia,69,88,7,78.4090909090909,64.68181818181817,0
Mg Bracewell,58,49,4,118.36734693877551,64.6734693877551,0
Harshit Rana,59,57,10,103.50877192982458,63.001754385964915,0
Anirudh Singh,63,69,4,91.30434782608695,62.760869565217384,0
D Pretorius,44,28,5,157.14285714285714,62.72857142857143,4
C Bosch,47,32,2,146.875,62.475,4
S Aravind,59,59,10,100.0,62.3,0
Wd Parnell,65,86,13,75.5813953488372,61.91627906976744,0
Pvd Chameera,53,46,10,115.21739130434783,61.14347826086956,0
Mohammad Hafeez,64,84,8,76.19047619047619,60.838095238095235,0
Sandeep Sharma,60,79,26,75.9493670886076,59.78987341772152,0
As Yadav,49,40,6,122.50000000000001,59.4,0
Vishnu Vinod,56,58,6,96.55172413793103,59.110344827586204,0
Kt Maphaka,8,3,1,266.66666666666663,59.03333333333333,4
Swapnil Singh,51,46,9,110.86956521739131,58.77391304347826,0
Sunny Singh,43,31,5,138.70967741935485,58.34193548387097,4
Shoaib Malik,52,49,5,106.12244897959184,58.124489795918365,0
I Sharma,57,71,21,80.28169014084507,58.056338028169016,0
Auk Pathan,39,26,7,150.0,58.0,4
Lpc Silva,40,27,3,148.14814814814815,57.92962962962963,4
Of Smith,51,50,6,102.0,56.699999999999996,0
M Markande,48,44,10,109.09090909090908,56.41818181818181,0
R Rampaul,51,52,7,98.07692307692307,56.01538461538461,0
Kb Arun Karthik,51,53,8,96.22641509433963,55.74528301886792,0
